Interprise,Name,Age,Since,Position,Biography,,,,,,,,,
"Whole Foods Market, Inc","							Keith;Manbeck",null,2017,"                                 Chief Financial Officer, Executive Vice President"," 					 							Mr. Keith Manbeck is appointed as Chief Financial Officer, Executive Vice President of the company effective on May 17, 2017. He brings to Whole Foods Market more than 20 years of financial and operational experience at leading companies, most recently serving as Senior Vice President of Digital Finance, Strategy Management and Business Transformation at Kohl’s Corporation since 2014. During his tenure at Kohl’s, Mr. Manbeck helped lead key transformation initiatives, including the company’s development of its digital commerce business. This resulted in three years of double-digit comp growth that outperformed industry peers, along with more than 20% annual sales growth, and over 25% annual profitability growth. Prior to joining Kohl’s, Mr. Manbeck served as Global Vice President and CFO for Nike’s Direct to Consumer business, which under his stewardship delivered significant gross margin expansion. Under Mr. Manbeck’s leadership, which began in 2008, Nike’s Direct to Consumer business grew to over $5 billion in sales with double-digit comp growth each year and profits increasing by more than 30% each year.",,,,,,,,,
"Whole Foods Market, Inc","							Jason;Buechel",38,2015,"                                 Executive Vice President, Chief Information Officer"," 					 							Mr. Jason J. Buechel is a Executive Vice President, Chief Information Officer of the Company. Mr. Buechel joined the Company in 2013 and served as Global Vice President and Chief Information Officer until July 2015. Prior to that, he spent 12 years at Accenture, where he served as Managing Director and Partner in the company’s retail operations practice, including leading the retail channels practice for North America.",,,,,,,,,
"Whole Foods Market, Inc","							David;Lannon",50,2012,                                 Executive Vice President - Operations," 					 							Mr. David Lannon is Executive Vice President - Operations of the Company. Prior to that, Mr. Lannon had served as President of the Northern California Region since December 2007 and President of the North Atlantic Region from March 2001 to December 2007. He has held various positions with the Company and with Bread & Circus, Inc., which was acquired by the Company in October 1992, including Store Team Leader, Director of Store Operations and Vice President of the North Atlantic Region.",,,,,,,,,
"Whole Foods Market, Inc","							Kenneth;Meyer",48,2012,                                 Executive Vice Presidents - Operations," 					 							Mr. Kenneth Meyer is Executive Vice President - Operations of Whole Foods Market, Inc., Mr. Meyer also served as President of the Mid-Atlantic Region from October 2004 to February 2012. He has held various positions with the Company and with Fresh Fields Market, which was acquired by the Company in August 1996, including Store Team Leader, Vice President of the Southwest Region, and President of the South Region.",,,,,,,,,
"Whole Foods Market, Inc","							James;Sud",64,2001,                                 Executive Vice President - Growth and Business Development," 					 							Mr. James P. Sud is Executive Vice President - Growth and Business Development of the Company. Mr. Sud joined the Company in May 1997 and served as Vice President and Chief Operating Officer until February 2001. He served as a director of the Company from 1980 to 1997.",,,,,,,,,
"Whole Foods Market, Inc","							Mary;Coe",49,2016,                                 Independent Director," 					 							Ms. Mary Ellen Coe is an Independent Director of the Company. Ms. Coe has served as Vice President of Sales and Product Operations at Google since November 2012.",,,,,,,,,
"Whole Foods Market, Inc","							Shahid;Hassan",68,2005,                                 Independent Director," 					 							Mr. Shahid Muzaffar Hassan is an Independent Director of Whole Foods Market, Inc. Mr. Hassan has been a General Partner of Greenmont Capital, an investment firm, since 2006. Mr. Hassan was a co-founder, President and CEO of Alfalfa’s Market and President of Wild Oats Marketplace. In 1999, Mr. Hassan founded Fresh & Wild, Ltd., an organic food retailer in the United Kingdom. Mr. Hassan served as President and Executive Chairman of Fresh & Wild from 1999 until 2004, when it was acquired by the Company. Mr. Hassan has over 35 years of experience in the retail grocery business in both public company and private company settings.",,,,,,,,,
"Whole Foods Market, Inc","							Ken;Hicks",null,2017,                                 Independent Director," 					 							Mr. Ken C. Hicks is Independent Director of the company. He is the former Chairman, President and Chief Executive Officer of Foot Locker and has served in leadership positions at several major retail companies, including J.C. Penney, Payless ShoeSource, Home Shopping Network and May Department Stores. -- Mr. Hicks brings to the Board over 29 years of senior marketing and operational experience in the retail industry. -- At Foot Locker, he is credited with developing and executing a highly successful strategic plan that drove superior financial results and impressive shareholder returns. -- Mr. Hicks joined Foot Locker after three consecutive years of annual same store sales declines. Under his successful turnaround plan, the company trimmed store count and consolidated management. -- During his tenure at Foot Locker, the company delivered total shareholder return of 573% compared to 117% total return for the S&P 500 over the same time period.",,,,,,,,,
"Whole Foods Market, Inc","							Stephanie;Kugelman",69,2008,                                 Independent Director," 					 							Ms. Stephanie Kugelman is Independent Director of Whole Foods Market, Inc. Ms. Kugelman serves as a principal of A.S.O., A Second Opinion, a strategy and branding consultancy she founded in 2007, and since January 2015 as Vice Chairman at Solera Capital, a private equity firm. She was previously Vice Chairman and Chief Strategic Officer of Young & Rubicam Brands, a worldwide marketing communications company, where she held positions of increasing responsibility commencing in 1971. Ms. Kugelman also serves on the board of directors of HSNi.",,,,,,,,,
"Whole Foods Market, Inc","							Joseph;Mansueto",60,2017,                                 Independent Director," 					 							Mr. Joseph D. (Joe) Mansueto is Independent Director of the company. He founded Morningstar in 1984 and became Executive Chairman in 2017. He has served as Chairman of the Board of Directors for the duration of his tenure, and as Chief Executive Officer from 1984 to 1996 and again from 2000 to 2016. He received the Distinguished Entrepreneurial Alumnus Award from the University of Chicago Booth School of Business in 2000. Before founding Morningstar, Mr. Mansueto was a securities analyst at Harris Associates. He holds a Bachelor’s Degree in business administration from the University of Chicago and a Masters of Business Administration from the University of Chicago Booth School of Business. He previously served as a Director of TransUnion Corp.",,,,,,,,,
